ID,pfam,Longitude,Latitude,Habitat,Hit
2519103196,PF00905,-93.6197222,42.0347222,Other Host-associated,1
2602041609,PF00905,-0.12,51.5,Digestive,1
2897530398,PF00905,-71.06,42.36,Other Host-associated,1
641736216,PF00905,-93.264351,44.977482,Other Host-associated,1
3300002406,PF00905,8.4956,52.0385,Other Host-associated,1
3300023568,PF00905,-121.9047,36.8313,Bioreactor,1
3300025804,PF00905,-112.8418,49.6935,Marine,5
3300026525,PF00905,-112.8418,49.6935,Digestive,2
3300027008,PF00905,-93,42,Digestive,1
3300027046,PF00905,-93,42,Soil,1
3300028159,PF00905,-93,42,Soil,1
3300036107,PF00905,-119.841,34.4149,Soil,2
3300036550,PF00905,-119.841,34.4149,Digestive,2
2065487000,PF00905,-95.38,29.7,Digestive,1
2065487007,PF00905,-95.38,29.7,Digestive,1
2065487009,PF00905,-95.38,29.7,Digestive,1
2124908010,PF00905,-90.224,38.646,Digestive,2
2149837019,PF00905,9.24,56.13,Digestive,1
2149837021,PF00905,-110.95,32.23,Digestive,1
2149837022,PF00905,-110.95,32.23,Digestive,1
2149837023,PF00905,-110.95,32.23,Digestive,1
2199352027,PF00905,-122.2477251,37.8754404,Digestive,1
3300000274,PF00905,-8.472,51.907,Bioreactor,1
3300000279,PF00905,-8.472,51.907,Digestive,1
3300000281,PF00905,-8.472,51.907,Digestive,1
3300000282,PF00905,-8.472,51.907,Digestive,1
3300000284,PF00905,-8.472,51.907,Digestive,1
3300000287,PF00905,-8.472,51.907,Digestive,2
3300000291,PF00905,-8.472,51.907,Digestive,1
3300000293,PF00905,-8.472,51.907,Digestive,1
3300000296,PF00905,-8.472,51.907,Digestive,2
3300000297,PF00905,-8.472,51.907,Digestive,1
3300000304,PF00905,-8.470613,51.897783,Digestive,1
3300000329,PF00905,-8.472,51.907,Digestive,1
3300000357,PF00905,-8.472,51.907,Digestive,1
3300000358,PF00905,-8.472,51.907,Digestive,1
3300000359,PF00905,-8.472,51.907,Digestive,1
3300000979,PF00905,151.166614,-33.966629,Digestive,1
3300001375,PF00905,-97.515884,35.453976,Other Host-associated,1
3300001376,PF00905,-97.515884,35.453976,Digestive,1
3300001480,PF00905,175.608,-40.352,Digestive,1
3300001482,PF00905,175.608,-40.352,Digestive,1
3300001517,PF00905,175.608,-40.352,Digestive,1
3300001520,PF00905,175.608,-40.352,Digestive,1
3300001598,PF00905,9.941572,53.595256,Digestive,2
3300001919,PF00905,9.941572,53.595256,Digestive,1
3300002163,PF00905,8.4956,52.0385,Digestive,1
3300002164,PF00905,8.4956,52.0385,Bioreactor,2
3300002167,PF00905,8.4956,52.0385,Bioreactor,1
3300002168,PF00905,8.4956,52.0385,Bioreactor,3
3300002170,PF00905,8.4956,52.0385,Bioreactor,2
3300002173,PF00905,8.4956,52.0385,Bioreactor,1
3300002174,PF00905,8.4956,52.0385,Bioreactor,1
3300002545,PF00905,7.1648,47.379,Bioreactor,1
3300003364,PF00905,7.1648,47.379,Other enviroment,1
3300003936,PF00905,-84.294,33.881,Other enviroment,1
3300004628,PF00905,-122.2477251,37.8754404,Other engineered,1
3300005469,PF00905,16.37,48.2,Bioreactor,1
3300005512,PF00905,21.315,38.4825,Digestive,1
3300005534,PF00905,-76.3402,40.7999,Other enviroment,1
3300005582,PF00905,-83.045851,44.504638,Soil,3
3300006134,PF00905,-96.97,32.73,Freshwater,1
3300006135,PF00905,-96.97,32.73,Digestive,1
3300006136,PF00905,-96.97,32.73,Digestive,2
3300006137,PF00905,-96.97,32.73,Digestive,1
3300006138,PF00905,-96.97,32.73,Digestive,1
3300006144,PF00905,-96.97,32.73,Digestive,1
3300006145,PF00905,-96.97,32.73,Digestive,1
3300006146,PF00905,-96.97,32.73,Digestive,1
3300006147,PF00905,-96.97,32.73,Digestive,1
3300006148,PF00905,-96.97,32.73,Digestive,1
3300006149,PF00905,-96.97,32.73,Digestive,1
3300006153,PF00905,-96.97,32.73,Digestive,1
3300006167,PF00905,-96.97,32.73,Digestive,1
3300006168,PF00905,-96.97,32.73,Digestive,1
3300006197,PF00905,-96.97,32.73,Digestive,1
3300006198,PF00905,-96.97,32.73,Digestive,1
3300006199,PF00905,-96.97,32.73,Digestive,1
3300006201,PF00905,-96.97,32.73,Digestive,1
3300006203,PF00905,-96.97,32.73,Digestive,1
3300006204,PF00905,-96.97,32.73,Digestive,1
3300006252,PF00905,-77.1012173,39.0042816,Digestive,3
3300006254,PF00905,-77.1012173,39.0042816,Digestive,2
3300006255,PF00905,-77.1012173,39.0042816,Digestive,1
3300006256,PF00905,-77.1012173,39.0042816,Digestive,1
3300006257,PF00905,-77.1012173,39.0042816,Digestive,2
3300006259,PF00905,-77.1012173,39.0042816,Digestive,4
3300006260,PF00905,-77.1012173,39.0042816,Digestive,1
3300006261,PF00905,-77.1012173,39.0042816,Digestive,2
3300006262,PF00905,-77.1012173,39.0042816,Digestive,2
3300006289,PF00905,-77.1012173,39.0042816,Digestive,3
3300006295,PF00905,-77.1012173,39.0042816,Digestive,2
3300006297,PF00905,-77.1012173,39.0042816,Digestive,1
3300006302,PF00905,-77.1012173,39.0042816,Digestive,2
3300006307,PF00905,-77.1012173,39.0042816,Digestive,1
3300006319,PF00905,-77.1012173,39.0042816,Digestive,1
3300006320,PF00905,-77.1012173,39.0042816,Digestive,3
3300006321,PF00905,-77.1012173,39.0042816,Digestive,1
3300006322,PF00905,-77.1012173,39.0042816,Digestive,1
3300006333,PF00905,-77.1012173,39.0042816,Digestive,1
3300006350,PF00905,-158,22.75,Digestive,1
3300006457,PF00905,-77.1012173,39.0042816,Marine,1
3300006458,PF00905,-77.1012173,39.0042816,Digestive,2
3300006459,PF00905,-77.1012173,39.0042816,Digestive,2
3300006460,PF00905,-77.1012173,39.0042816,Digestive,2
3300006464,PF00905,-77.1012173,39.0042816,Digestive,1
3300006489,PF00905,-77.1012173,39.0042816,Digestive,1
3300006498,PF00905,-77.1012173,39.0042816,Digestive,1
3300006499,PF00905,-77.1012173,39.0042816,Digestive,1
3300006502,PF00905,-77.1012173,39.0042816,Digestive,1
3300006522,PF00905,-77.1012173,39.0042816,Digestive,3
3300006523,PF00905,-77.1012173,39.0042816,Digestive,1
3300006525,PF00905,-77.1012173,39.0042816,Digestive,1
3300006545,PF00905,-77.1012173,39.0042816,Digestive,1
3300006568,PF00905,-77.1012173,39.0042816,Digestive,2
3300006678,PF00905,-77.1012173,39.0042816,Digestive,2
3300006739,PF00905,-77.1012173,39.0042816,Digestive,2
3300006742,PF00905,-77.1012173,39.0042816,Digestive,1
3300006743,PF00905,-77.1012173,39.0042816,Digestive,2
3300006832,PF00905,-77.1012173,39.0042816,Digestive,1
3300006898,PF00905,-77.1012173,39.0042816,Digestive,1
3300007039,PF00905,-77.1012173,39.0042816,Digestive,1
3300007079,PF00905,-77.1012173,39.0042816,Digestive,2
3300007091,PF00905,-77.1012173,39.0042816,Digestive,1
3300007096,PF00905,-77.1012173,39.0042816,Digestive,1
